Date,London Time,Breed + Health Dog DNA Test,Breed + Health Test 2-Pack,lowest price of the day,price <=$119
10-May-26,00:40,$129 ,$255 ,$127.50 , false
10-May-26,01:38,$129 ,$255 ,$127.50 , false
10-May-26,02:15,$129 ,$255 ,$127.50 , false
10-May-26,08:11,$129 ,$255 ,$127.50 , false
11-May-26,08:17,$129 ,$255 ,$127.50 , false
12-May-26,08:07,$110 ,$220 ,$110 , true
13-May-26,08:09,$139 ,$275 ,$137.50 , false
14-May-26,09:04,$139 ,$275 ,$137.50 , false
15-May-26,08:05,$110 ,$220 ,$110 , true
16-May-26,08:04,$129 ,$258 ,$129 , false
